	泠鸢yousa	hanser	祖娅纳惜	多多poi丶	神楽七奈Official	鹿乃ちゃん	AIChannel官方	嘉然今天吃什么	C酱です	小狼XF	一块电鹿板	冰糖IO
泠鸢yousa	/	62812.70	33645.58	29121.58	20763.21	18188.80	3761.19	1993.63	1179.15	1186.02	0.00	8930.93
hanser	62812.70	/	22613.72	29903.83	6070.55	9185.40	977.48	597.17	724.38	1387.03	0.00	4125.16
祖娅纳惜	33645.58	22613.72	/	4283.83	3577.89	2137.00	360.07	628.74	715.15	0.00	0.00	3318.53
多多poi丶	29121.58	29903.83	4283.83	/	3909.80	1556.83	629.55	577.38	1050.77	893.33	0.00	5047.36
神楽七奈Official	20763.21	6070.55	3577.89	3909.80	/	21733.98	4167.27	1687.83	0.00	896.35	0.00	5011.00
鹿乃ちゃん	18188.80	9185.40	2137.00	1556.83	21733.98	/	2564.45	672.07	917.32	0.00	0.00	1884.46
AIChannel官方	3761.19	977.48	360.07	629.55	4167.27	2564.45	/	1019.15	231.84	0.00	0.00	1176.68
嘉然今天吃什么	1993.63	597.17	628.74	577.38	1687.83	672.07	1019.15	/	157.38	964.11	0.00	671.08
C酱です	1179.15	724.38	715.15	1050.77	0.00	917.32	231.84	157.38	/	1315.92	0.00	360.84
小狼XF	1186.02	1387.03	0.00	893.33	896.35	0.00	0.00	964.11	1315.92	/	3609.27	636.08
一块电鹿板	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3609.27	/	0.00
冰糖IO	8930.93	4125.16	3318.53	5047.36	5011.00	1884.46	1176.68	671.08	360.84	636.08	0.00	/
